text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
jim crow;jim crow;;;racial / ethnic slurs;other / general insult;;1.4;Mild
fcuking;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fcukker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fcuks;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fcvking;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
feck;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
feck arse;arse;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
fecker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fellatio aficionado;fellatio;;;sexual anatomy / sexual acts;;;2;Strong
fellator;fellatio;;;sexual anatomy / sexual acts;;;1.6;Strong
fick;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
finger fuck;fuck;;;sexual anatomy / sexual acts;;;2.6;Severe
fingerbanged;finger;;;sexual anatomy / sexual acts;;;1.6;Strong
fk bunny;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fkbny;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
fked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fking;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fkings;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
fkker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
focker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fook;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.6;Strong
kiss ass;ass;;;sexual anatomy / sexual acts;;;1;Mild
fooker;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
fookuh;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
fothermuckers;motherfucker;;;sexual anatomy / sexual acts;;;1.8;Strong
fuc;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
klitoris;clit;;;sexual anatomy / sexual acts;;;1;Mild
fucc;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fucca;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
knob;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
fuccers;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuccing;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
fuccs;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
Fuck;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuck arse;fuck;arse;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
fuck face;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
fuck faces;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
knob3nd;knob;;;sexual anatomy / sexual acts;;;1.2;Mild
knobd;knob;;;sexual anatomy / sexual acts;;;1.2;Mild
knobe;knob;;;sexual anatomy / sexual acts;;;1;Mild
knobead;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
knobeads;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
knobed;knob;;;sexual anatomy / sexual acts;other / general insult;;1.4;Mild
fuck goblin;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
knobend;knob;;;sexual anatomy / sexual acts;;;1.2;Mild
fuck head;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
knobends;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
fuck off;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
knobendz;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
knober;knob;;;sexual anatomy / sexual acts;;;1;Mild
knobes;knob;;;sexual anatomy / sexual acts;;;1.2;Mild
fuck up;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
fuck y0u;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fuck you;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fuck your;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fuck your mother;fuck;motherfucker;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
fucka;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuckahs;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fuckass;fuck;ass;;sexual anatomy / sexual acts;;;2.4;Strong
fuckasses;fuck;ass;;sexual anatomy / sexual acts;;;2.4;Strong
fuckaz;fuck;ass;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuckbag;fuck;;;sexual anatomy / sexual acts;;;2.6;Severe
fuckboy;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
l3i + ch;bitch;;;sexual orientation / gender;;;1.2;Mild
l3i+ch;bitch;;;sexual orientation / gender;;;1.2;Mild
l3itch;bitch;;;sexual orientation / gender;;;1.4;Mild
l3itches;bitch;;;sexual orientation / gender;;;1.2;Mild
ladboys;ladyboy;;;sexual orientation / gender;;;1.4;Mild
ladboyz;ladyboy;;;sexual orientation / gender;;;1.4;Mild
fucked;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
fucked up;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuckem;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fucker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fucker off;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuckers;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
ladyboyz;ladyboy;;;sexual orientation / gender;;;1.4;Mild
fuckface;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
loose woman;loose;;;sexual orientation / gender;;;1.4;Mild
m@asterbated;masturbate;;;sexual anatomy / sexual acts;;;1.4;Mild
fuckfaces;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuckhead;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuckheaded;fuck;;;sexual anatomy / sexual acts;mental disability;;2.6;Severe
fuckheads;fuck;;;sexual anatomy / sexual acts;;;2.6;Severe
fuckin;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fucking;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fucking A;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fucking asshole;fuck;ass;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
fucking bastard;fuck;bastard;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
fucking hell;fuck;hell;;sexual anatomy / sexual acts;religious offense;;2;Strong
fucking me;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fucking retard;fuck;retard;;sexual anatomy / sexual acts;mental disability;;3;Severe
fucking shit;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;1.8;Strong
fuckk;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuckless;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuckmachine;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fucknuckle;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
man chowder;man chowder;;;bodily fluids / excrement;;;1;Mild
man meat;meat;;;sexual anatomy / sexual acts;;;1.2;Mild
man seed;man seed;;;bodily fluids / excrement;;;1;Mild
fucks;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fuckshit;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
meat-sword;meat;;;sexual anatomy / sexual acts;;;1.2;Mild
fuckshitface;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
fuckshithead;fuck;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.8;Severe
fuckstar;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuckster;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuckstick;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fucktard;fuck;retard;;sexual anatomy / sexual acts;mental disability;;2.8;Severe
fucktards;fuck;retard;;sexual anatomy / sexual acts;mental disability;;2.6;Severe
fuckup;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fuckwad;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuckwhore;fuck;whore;;sexual anatomy / sexual acts;;;2.6;Severe
fucs;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
fucx;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fudgefucker;fudge packer;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;bodily fluids / excrement;3;Severe
fudgepackers;fudge packer;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
fudgepackershitter;fudge packer;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;3;Severe
fudgepacking fucker;fudge packer;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;bodily fluids / excrement;3;Severe
fugged;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
fugger;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fuggerz;fuck;;;sexual anatomy / sexual acts;;;2.6;Severe
fuggings;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuk;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuk1n;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuk1ng;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fukcs;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fuker;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fukheads;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukin;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fuking;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukk;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukka;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fukked;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukker;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukkers;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukking;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukkings;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fukkuh;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuks;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fuku;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
fukwhore;fuck;whore;;sexual anatomy / sexual acts;;;2.8;Severe
fukwit;fuck;;;sexual anatomy / sexual acts;mental disability;;2.2;Strong
fuq;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
futhamucka;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
fux;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fux0r;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fvck;fuck;;;sexual anatomy / sexual acts;other / general insult;;1.8;Strong
fvck you;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
fvcka;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fvckbunny;fuck;;;sexual anatomy / sexual acts;animal references;;2.2;Strong
fvcker;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
fvckers;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fvckin;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
fvcking;fuck;;;sexual anatomy / sexual acts;;;2;Strong
fvckker bunny;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fvckwhi;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fxck;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
fxcked;fuck;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
fxcker;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
fxcking;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
gash-stabber;gash-stabber;;;sexual anatomy / sexual acts;;;2;Strong
gay ass;gay;ass;;sexual anatomy / sexual acts;sexual orientation / gender;;2.6;Severe
gay fucker;fuck;gay;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
get fucked;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
gin jockey;gin jockey;;;sexual anatomy / sexual acts;;;2;Strong
go fuck yourself;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
goddamn mothafuckers;motherfucker;damn;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
harry palms;harry palms;;;sexual anatomy / sexual acts;;;1.6;Strong
holy fuck;fuck;;;sexual anatomy / sexual acts;other / general insult;religious offense;2;Strong
homo asses;homosexual;ass;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
jackoff;jack off;;;sexual anatomy / sexual acts;;;2;Strong
jackoffz;jack off;;;sexual anatomy / sexual acts;;;1.6;Strong
jerkoff;jerk off;;;sexual anatomy / sexual acts;;;1.6;Strong
jizz eater;jizz;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
jizz licker;jizz;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.4;Strong
jizzsacks;jizz;;;sexual anatomy / sexual acts;;;1.8;Strong
kid diddler;diddle;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
kiddy touch;kidtoucher;;;sexual anatomy / sexual acts;;;1.8;Strong
kiss my ass;ass;;;sexual anatomy / sexual acts;;;1.6;Strong
kitty puncher;kitty puncher;;;sexual anatomy / sexual acts;;;2.2;Strong
knob eater;knob;;;sexual anatomy / sexual acts;;;2.2;Strong
knob gobbler;knob;;;sexual anatomy / sexual acts;;;1.8;Strong
knob jockey;knob;;;sexual anatomy / sexual acts;;;1.8;Strong
knob-face;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knob-gobbler;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knob-head;knob;;;sexual anatomy / sexual acts;;;2;Strong
knob3d;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knobeds;knob;;;sexual anatomy / sexual acts;;;1.8;Strong
knobender;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
knobendy;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knobgobbler;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
knobhead;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knobheads;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
knobjockies;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
knobjocky;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
knobjokeys;knob;;;sexual anatomy / sexual acts;;;1.8;Strong
m@derfaker;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
m@derfuck;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
m@derfuckers;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
m0f0;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
m0fo;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
m0fos;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
m0thafucked;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
m0thafucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
m0thafucking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
m0therfuckeds;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
m0therfucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
m0therfucking;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
m0therfvcker;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
markasses;ass;;;sexual anatomy / sexual acts;;;2;Strong
meat curtains;meat curtains;;;sexual anatomy / sexual acts;;;2;Strong
mf'er;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
mf'ers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mf'ing;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
mfckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
MFer;motherfucker;;;sexual anatomy / sexual acts;;;1.8;Strong
MFers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mfing;motherfucker;;;sexual anatomy / sexual acts;;;1.8;Strong
muff;muff;;;sexual anatomy / sexual acts;;;1.4;Mild
mfk;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;1.6;Strong
mfs;motherfucker;;;sexual anatomy / sexual acts;;;2.2;Strong
mfukk;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mfukker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
milf;milf;;;sexual anatomy / sexual acts;;;1.8;Strong
mushroom tip;mushroom tip;;;sexual anatomy / sexual acts;;;1.4;Mild
mindfuck;motherfucker;;;sexual anatomy / sexual acts;;;2.2;Strong
mof0es;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
mofcker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mofo;motherfucker;;;sexual anatomy / sexual acts;;;2;Strong
mofo ass;motherfucker;ass;;sexual anatomy / sexual acts;;;2.4;Strong
mofos;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2;Strong
mofoshit;motherfucker;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
mofuccers;motherfucker;;;sexual anatomy / sexual acts;;;2.4;Strong
mofucckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
mofuck;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
mofuckkas;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
mofukkas;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
molester;molest;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
motha fucka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motha fucker;motherfucker;;;sexual anatomy / sexual acts;;;2.4;Strong
motha fuckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mothaf@cked;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothafcked;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mothafcking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
Mothafucc;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mothafucced;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothafuccer;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mothafuccing;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mothafuck;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mothafucka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mothafuckas;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mothafuckasses;motherfucker;ass;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mothafuckaz;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothafuckazzes;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mothafucked;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mothafuckeds;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
mothafucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mothafuckers;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothafuckin;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mothafucking;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mothafuckings;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mothafuckins;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothafucks;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
mothafuckz;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mothafvcked;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
mother effer;motherfucker;;;sexual anatomy / sexual acts;;;2.2;Strong
mother fuck;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mother fuck you;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mother fucka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mother fucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mother fuckers;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mother fucking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mothercker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
motherf@kka;motherfucker;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.6;Severe
motherfacking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
motherfcked;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfckin;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfcking;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfcks;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfckshit;motherfucker;shit;;sexual anatomy / sexual acts;other / general insult;bodily fluids / excrement;2.8;Severe
motherfecka;motherfucker;;;sexual anatomy / sexual acts;;;2.4;Strong
motherfecker;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
motherfk;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfucca;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
motherfuccas;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfuccers;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfuck;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
motherfucked;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfuckeds;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfuckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfuckin;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
motherfucking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfuckings;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfuckingshit;motherfucker;shit;;sexual anatomy / sexual acts;bodily fluids / excrement;other / general insult;2.8;Severe
motherfuckins;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfuckka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfuckkas;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfuckkers;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
motherfucks;motherfucker;;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
motherfukka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfukker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfukkings;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
motherfvck;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
motherfvcked;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
motherfvckeds;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
motherfvcker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
motherfvckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfvcking;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
motherfxcking;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mothfck;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mothter fuck;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mtherfuker;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
nobbyhead;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
mthrfcker;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
nobheads;knob;;;sexual anatomy / sexual acts;;;1.4;Mild
muddafukkas;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
mudderfuk;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
mudderfukker;motherfucker;;;sexual anatomy / sexual acts;;;2.6;Severe
mufdive;muff;;;sexual anatomy / sexual acts;;;1.8;Strong
mufdivin;muff;;;sexual anatomy / sexual acts;;;2.8;Severe
nobs;knob;;;sexual anatomy / sexual acts;;;1.2;Mild
nonce;nonce;;;other / general insult;;;1.4;Mild
muffdiving;muff;;;sexual anatomy / sexual acts;;;2;Strong
nuggets;nigger;;;racial / ethnic slurs;bodily fluids / excrement;;1.2;Mild
nut butter;nut butter;;;bodily fluids / excrement;;;1.4;Mild
muffdivings;muff;;;sexual anatomy / sexual acts;;;2.2;Strong
muffindivin;muff;;;sexual anatomy / sexual acts;;;1.8;Strong
nympho;nymph;;;sexual anatomy / sexual acts;sexual orientation / gender;;1;Mild
nymphomaniac;nymph;;;other / general insult;;;1.4;Mild
octopussy;pussy;;;sexual anatomy / sexual acts;;;1.2;Mild
muffindiving;muff;;;sexual anatomy / sexual acts;;;1.8;Strong
muhfucking;motherfucker;;;sexual anatomy / sexual acts;;;2.4;Strong
mutha fucka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
mutha fucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.4;Strong
muthafecker;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
muthafeckers;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
muthafucka;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
muthafuckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
muthafuckings;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
muthafuckker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;3;Severe
muthafuckkers;motherfucker;;;sexual anatomy / sexual acts;;;2.8;Severe
muthafukka;motherfucker;;;sexual anatomy / sexual acts;;;3;Severe
mutherfucker;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.6;Severe
mutherfuckers;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;2.8;Severe
n0bhead;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
palm jockey;palm jockey;;;sexual anatomy / sexual acts;;;1.2;Mild
n0bj0cky;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
pecker;pecker;;;sexual anatomy / sexual acts;;;1.4;Mild
nip;nipple;;;sexual anatomy / sexual acts;;;2;Strong
nob jockey;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.2;Strong
nob jokeys;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
nobhead;knob;;;sexual anatomy / sexual acts;;;1.6;Strong
nobj0key;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
nobjockies;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.8;Strong
nobjocky;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2.4;Strong
peen;penis;;;sexual anatomy / sexual acts;;;1;Mild
peener;penis;;;sexual anatomy / sexual acts;;;1;Mild
nobjokey;knob;;;sexual anatomy / sexual acts;sexual orientation / gender;;2;Strong
nutsack;nutsack;;;sexual anatomy / sexual acts;;;1.8;Strong
